"title","lat","lng","www","conduse"
"Biblioteca comunale Manfrediana. Sede di Granarolo","44,29534377531040","11,86452867866110",,"http://dati.emilia-romagna.it/id/ibc/condition/IT-RA0119_orari"
"Biblioteca comunale """Fratelli Carnacini"""","44,04012249463240","12,31322138778990",,"http://dati.emilia-romagna.it/id/ibc/condition/IT-FC0105_orari"
"Biblioteca civica """Francesco Zanetti"""","44,61500415134040","9,97932910917900","http://www.comune.solignano.pr.it/page.asp?IdCategoria=2990&IDSezione=&IDOggetto=&Tipo=SERVIZIO","http://dati.emilia-romagna.it/id/ibc/condition/IT-PR0236_orari"
"Biblioteca medico-scientifica dell'Azienda USL di Piacenza","45,05447356962860","9,68300000605450",,"http://dati.emilia-romagna.it/id/ibc/condition/IT-PC0073_orari"
"Biblioteca comunale """Carlo Piancastelli"""","44,46750781157140","11,95983993024720","http://www.comune.fusignano.ra.it/contenuti/index.php?t=biblioteca&ref=3","http://dati.emilia-romagna.it/id/ibc/condition/IT-RA0024_orari"
"Biblioteca comunale","44,5686","9,884708","http://www.comune.valmozzola.pr.it/page.asp?IDCategoria=3209&IDSezione=15211&IDOggetto=7121&Tipo=SERVIZIO","http://dati.emilia-romagna.it/id/ibc/condition/IT-PR0237_orari"
"Biblioteca Scientifica """Carlo Livi"""","44,68668492903810","10,66541561868420","http://www.ausl.re.it/biblioteca-scientifica-carlo-livi.html","http://dati.emilia-romagna.it/id/ibc/condition/IT-RE0053_orari"
"Biblioteca comunale","44,27018657959350","11,32172547122620",,"http://dati.emilia-romagna.it/id/ibc/condition/IT-BO0204_orari"
"Biblioteca comunale","43,86202147200330","12,70390399254230",,"http://dati.emilia-romagna.it/id/ibc/condition/IT-RN0009_orari"
"Biblioteca comunale """Pablo Neruda"""","44,62021659227960","10,60157302626920","http://www.comune.albinea.re.it/Sezione.jsp?idSezione=70&idSezioneRif=19","http://dati.emilia-romagna.it/id/ibc/condition/IT-RE0001_orari"
"Biblioteca comunale """Pablo Neruda"""","44,62021659227960","10,60157302626920","http://biblioteche.provincia.re.it/albinea","http://dati.emilia-romagna.it/id/ibc/condition/IT-RE0001_orari"
"Biblioteca Italiana delle Donne - Centro delle Donne Città di Bologna","44,48824020373830","11,35556880906100","http://www.women.it/bibliotecadelledonne/","http://dati.emilia-romagna.it/id/ibc/condition/IT-BO0284_orari"
"Biblioteca comunale del Centro culturale polivalente","44,76651023291700","9,38652663598162",,"http://dati.emilia-romagna.it/id/ibc/condition/IT-PC0004_orari"
"Centro culturale polivalente """C. Rambaldi"""","44,84211881226350","11,49914270406370","http://www.comune.vigarano.fe.it/Biblioteca","http://dati.emilia-romagna.it/id/ibc/condition/IT-FE0052_orari"
"Biblioteca Civica Patrimonio Studi","44,72898824820680","11,29165897224040","http://www.comune.cento.fe.it/biblioteca/index.htm","http://dati.emilia-romagna.it/id/ibc/condition/IT-FE0004_orari"
"Biblioteca scientifica """Sante Solieri""" dell'Ospedale """G. B. Morgagni - L. Pierantoni""" di Vecchiazzano","44,22964649626200","12,03831281061720","http://www.ausl.fo.it","http://dati.emilia-romagna.it/id/ibc/condition/IT-FC0019_orari"
"Biblioteca comunale di Voltana","44,53803896513090","11,93005411393780",,"http://dati.emilia-romagna.it/id/ibc/condition/IT-RA0083_orari"
"Biblioteca """Antonio Panizzi"""","44,69657263157800","10,62931073889870","http://www.bibliotecapanizzi.it/","http://dati.emilia-romagna.it/id/ibc/condition/IT-RE0052_orari"
"Biblioteca della Sezione provinciale dell'Agenzia Regionale Prevenzione e Ambiente di Ravenna","44,41608620397730","12,20587189766260",,"http://dati.emilia-romagna.it/id/ibc/condition/IT-RA0088_orari"
"Biblioteca del Museo ornitologico e di scienze naturali","44,54459450957390","12,14988606022740",,"http://dati.emilia-romagna.it/id/ibc/condition/IT-RA0064_orari"
"Biblioteca-Emeroteca MAMbo - Museo d'Arte Moderna di Bologna","44,50267906915080","11,33679703420920","http://www.mambo-bologna.org/biblioteca","http://dati.emilia-romagna.it/id/ibc/condition/IT-BO0307_orari"
"Biblioteca comunale """Fabrizio Trisi"""","44,42022985128830","11,90912665911130","http://www.bibliotecatrisi.it","http://dati.emilia-romagna.it/id/ibc/condition/IT-RA0025_orari"
"Biblioteca comunale """Gaspare Mariotti"""","43,91239938044050","12,64537989210360","http://www.morciano.org/mambo/index.php?option=com_content&task=view&lang=it&id=188&Itemid=0","http://dati.emilia-romagna.it/id/ibc/condition/IT-RN0010_orari"
"Biblioteca del Quartiere Al mare - Ruffio","44,14040379513430","12,36196721436690",,"http://dati.emilia-romagna.it/id/ibc/condition/IT-FC0124_orari"
"Biblioteca comunale MABIC","44,52531906475050","10,86524836623810",,"http://dati.emilia-romagna.it/id/ibc/condition/IT-MO0132_orari"
"Biblioteca comunale","44,80648203177610","10,80161679346070","http://biblioteche.provincia.re.it/riosaliceto","http://dati.emilia-romagna.it/id/ibc/condition/IT-RE0058_orari"
"Biblioteca comunale """Carlo Pasini"""","44,22233924609460","11,76883735199470",,"http://dati.emilia-romagna.it/id/ibc/condition/IT-RA0003_orari"
"Biblioteca comunale """Claudio Zanichelli"""","44,90553851291100","10,55354450267370","http://biblioteche.provincia.re.it/Sezione.jsp?idSezione=44","http://dati.emilia-romagna.it/id/ibc/condition/IT-RE0010_orari"
"Biblioteca comunale """Arturo Panarari"""","44,76288627326360","10,59464207905600","http://biblioteche.provincia.re.it/cadelbosco","http://dati.emilia-romagna.it/id/ibc/condition/IT-RE0013_orari"
"Biblioteca comunale","44,76016377828560","10,44871022237780","http://biblioteche.provincia.re.it/Sezione.jsp?idSezione=73","http://dati.emilia-romagna.it/id/ibc/condition/IT-RE0069_orari"
"Biblioteca comunale di Palazzo Frattini","44,92120982636580","10,65260307832640","http://www.comune.guastalla.re.it/servizi/menu/dinamica.aspx?idArea=16540&idCat=17570&ID=17570&TipoElemento=categoria","http://dati.emilia-romagna.it/id/ibc/condition/IT-RE0082_orari"
"Biblioteca comunale di Palazzo Frattini","44,92120982636580","10,65260307832640","http://biblioteche.provincia.re.it/guastalla","http://dati.emilia-romagna.it/id/ibc/condition/IT-RE0082_orari"
"Biblioteca comunale """Ugo Guanda"""","44,80461921827010","10,32974581511280","http://biblioteche.comune.parma.it/portal/page?_pageid=193,334414&_dad=portal&_schema=PORTAL&nome_cat=GUANDA","http://dati.emilia-romagna.it/id/ibc/condition/IT-PR0030_orari"
"Biblioteca comunale","44,14189516599180","11,15698816273290","http://www.facebook.com/BibliotecaComunaleDiCastiglioneDeiPepoli","http://dati.emilia-romagna.it/id/ibc/condition/IT-BO0186_orari"
"Biblioteca comunale - Osteria Grande","44,42292657924770","11,51703541711250","http://www.comune.castelsanpietroterme.bo.it/index.php?q=infocraft/testo_libero/177&m=65","http://dati.emilia-romagna.it/id/ibc/condition/IT-BO0231_orari"
